date_id,date,year,month,day,year_id,month_id,month_name,day_name,quarter,is_weekend
20230131,2023-01-31,2023,1,31,2023,202301,January,Tuesday,1,False
20230228,2023-02-28,2023,2,28,2023,202302,February,Tuesday,1,False
20230331,2023-03-31,2023,3,31,2023,202303,March,Friday,1,False
20230430,2023-04-30,2023,4,30,2023,202304,April,Sunday,2,True
20230531,2023-05-31,2023,5,31,2023,202305,May,Wednesday,2,False
20230630,2023-06-30,2023,6,30,2023,202306,June,Friday,2,False
20230731,2023-07-31,2023,7,31,2023,202307,July,Monday,3,False
20230831,2023-08-31,2023,8,31,2023,202308,August,Thursday,3,False
20230930,2023-09-30,2023,9,30,2023,202309,September,Saturday,3,True
20231031,2023-10-31,2023,10,31,2023,202310,October,Tuesday,4,False
20231130,2023-11-30,2023,11,30,2023,202311,November,Thursday,4,False
20231231,2023-12-31,2023,12,31,2023,202312,December,Sunday,4,True
20240131,2024-01-31,2024,1,31,2024,202401,January,Wednesday,1,False
20240229,2024-02-29,2024,2,29,2024,202402,February,Thursday,1,False
20240331,2024-03-31,2024,3,31,2024,202403,March,Sunday,1,True
20240430,2024-04-30,2024,4,30,2024,202404,April,Tuesday,2,False
20240531,2024-05-31,2024,5,31,2024,202405,May,Friday,2,False
20240630,2024-06-30,2024,6,30,2024,202406,June,Sunday,2,True
20240731,2024-07-31,2024,7,31,2024,202407,July,Wednesday,3,False
20240831,2024-08-31,2024,8,31,2024,202408,August,Saturday,3,True
20240930,2024-09-30,2024,9,30,2024,202409,September,Monday,3,False
20241031,2024-10-31,2024,10,31,2024,202410,October,Thursday,4,False
20241130,2024-11-30,2024,11,30,2024,202411,November,Saturday,4,True
20241231,2024-12-31,2024,12,31,2024,202412,December,Tuesday,4,False
20250131,2025-01-31,2025,1,31,2025,202501,January,Friday,1,False
20250228,2025-02-28,2025,2,28,2025,202502,February,Friday,1,False
20250331,2025-03-31,2025,3,31,2025,202503,March,Monday,1,False
20250430,2025-04-30,2025,4,30,2025,202504,April,Wednesday,2,False
20250531,2025-05-31,2025,5,31,2025,202505,May,Saturday,2,True
20250630,2025-06-30,2025,6,30,2025,202506,June,Monday,2,False
20250731,2025-07-31,2025,7,31,2025,202507,July,Thursday,3,False
20250831,2025-08-31,2025,8,31,2025,202508,August,Sunday,3,True
20250930,2025-09-30,2025,9,30,2025,202509,September,Tuesday,3,False
20251031,2025-10-31,2025,10,31,2025,202510,October,Friday,4,False
20251130,2025-11-30,2025,11,30,2025,202511,November,Sunday,4,True
20251231,2025-12-31,2025,12,31,2025,202512,December,Wednesday,4,False
